,X,Academic_Language..Low.Frequency.,Citation,Contingency,Descriptive,Directive,Elaborative_Syntax,Emotion_Positive,Emotion_Negative,Emotion_Surprise,Expository_Devices,FirstPerson,Forceful,Future,Inquiry,Interactive,Metadiscourse,Narrative,Past,Persons,Privy,Public,Reasoning,Relations_Positive,Relations_Negative,Reporting,Strategic,Values_Positive,Values_Negative,Name,Type
1,2006_06_13_PC_Domestic_Take_Back.txt,5.02,0.59,0.93,3.01,0.93,10.88,0.53,1.45,0,1.69,1.81,3.61,0.7,0.15,3.37,0.21,2.11,1.29,4.05,1.62,2.78,1.81,3.04,1.52,6.79,1.64,2.85,0.46,08vsObama,Clinton
2,2006_06_23_PC_Domestic_New_Dem.txt,5.23,0.46,0.74,3.57,0.98,12.02,0.46,1.05,0,1.51,2.15,3.54,0.83,0.34,3.6,0.62,2.18,1.01,3.69,1.17,3.32,1.14,3.14,1.26,6.52,1.97,2.61,0.34,08vsObama,Clinton
3,2007_01_10_PC_Foreign_Iraq.txt,5.07,0.72,0,5.07,1.09,14.13,0.36,1.81,0,1.45,1.45,2.9,1.81,0.36,2.54,0,2.17,0.36,5.43,0.72,5.8,0.36,2.17,1.45,8.7,2.54,2.17,1.45,08vsObama,Clinton
4,2007_01_20_PC_Domestic_Announcement.txt,7.26,0,1.68,3.07,0.56,8.94,0.56,0.84,0,2.51,3.35,2.79,0.56,1.12,9.78,0.28,2.23,0.56,1.4,0.56,1.12,2.23,1.96,0.28,6.42,0.84,3.07,0.28,08vsObama,Clinton
5,2007_01_22_PC_Stump_Conversation.txt,4.5,0,1.8,4.5,1.8,5.71,0.6,0,0,3.9,3,4.2,2.7,0.3,11.71,0.3,2.7,0.3,1.8,1.8,0,2.4,3,1.2,6.91,1.2,0.3,0,08vsObama,Clinton
6,2007_01_23_PC_Stump_Conversation.txt,2.19,0.55,0.55,4.92,0,6.56,1.64,0,0,1.64,4.92,2.73,2.19,0.55,9.84,0,2.73,1.64,3.83,0.55,0.55,4.37,3.83,0.55,6.56,0.55,0,0,08vsObama,Clinton
7,2007_01_24_PC_Stump_Conversation.txt,2.78,0,0.51,4.29,0.51,12.12,1.01,0.51,0,2.02,5.56,1.52,2.53,0.25,8.08,0.51,3.03,1.52,1.77,1.52,0.51,1.52,3.28,2.02,5.81,1.26,1.52,0,08vsObama,Clinton
8,2007_02_02_PC_Stump_DNC.txt,4.4,0.3,1.73,3.59,0.59,10.57,0.76,1.01,0,1.94,3.76,3.3,1.35,0.25,5.87,0.55,2.2,0.63,3.25,0.59,1.9,0.85,4.14,0.76,7.57,1.35,2.03,0.3,08vsObama,Clinton
9,2007_02_07_PC_Foreign_Iraq.txt,4.38,0.46,0.65,4.56,0.83,13.35,0.52,1.2,0,1.45,1.6,2.62,0.99,0.15,2.59,0.4,2.53,1.17,4.22,1.26,4.41,0.37,2.99,2.19,7.64,2,2.62,0.74,08vsObama,Clinton
10,2007_02_14_PC_Foreign_Iran.txt,4.39,0.66,1.11,3.38,0.81,14.01,0.5,2.12,0,1.81,1.41,3.07,1.01,0.1,3.23,0.45,2.22,0.96,2.37,1.01,4.59,0.71,4.18,1.81,8.22,2.32,2.72,0.81,08vsObama,Clinton
11,2007_03_04_PC_Domestic_Civil Rights.txt,4.65,0.39,0.79,4.78,0.79,11.54,0.79,1.27,0,1.89,2.5,2.06,0.39,0.18,3.73,0.44,3.6,1.49,6.54,0.79,1.84,1.1,3.42,0.79,6.93,0.61,1.71,0.44,08vsObama,Clinton
12,2007_03_06_PC_Women_Rights_History.txt,5.88,0,1.43,4.73,0.72,11.48,0.43,1.15,0,2.3,1.15,4.45,0.43,0.43,4.59,0.14,3.59,0.57,6.03,1,2.15,1.43,1.87,1.15,10.47,1.72,2.3,0.72,08vsObama,Clinton
13,2007_03_10_PC_Domestic_General.txt,10.57,0,0.29,4.86,0.86,10.29,0.29,1.14,0,3.71,0.29,0.86,0.57,0.29,9.71,0,2.86,0.29,8,0.57,2.29,0.57,1.14,0.86,5.43,1.43,1.43,0.86,08vsObama,Clinton
14,2007_03_14_PC_Domestic_Fire Fighters_Union.txt,4.31,0.26,0.99,4.54,0.99,9.22,0.57,1.12,0,2.01,2.64,2.82,0.78,0.16,6.66,0.63,2.85,1.23,4.75,1.49,1.28,1.49,3.26,0.99,6.45,1.31,1.93,0.24,08vsObama,Clinton
15,2007_03_15_PC_Domestic_Lending.txt,7.71,0.31,1.05,4.03,0.74,11.49,0.56,1.38,0.03,1.99,1.71,3.39,1.02,0.31,3.83,0.41,2.94,1.15,4.03,1.2,1.61,1.68,2.37,0.97,7.38,1.33,1.79,0.64,08vsObama,Clinton
16,2007_04_13_PC_Domestic_Govt Reform.txt,6.32,0.5,1.21,4.48,0.92,11.64,0.46,0.94,0.02,2.1,1.56,2.92,0.87,0.24,3.95,0.26,2.48,1.08,4.43,1.08,4.22,1.06,2.61,0.96,7.01,1.73,3.01,0.51,08vsObama,Clinton
